date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:07	21102/21102	URF---	200	added ('OK%20(cached)')	image/png		https://d3.do/assets/bloom/mobile/bloom_project_06-3a39c49cc0c7993ac5ed01c46ec40565ea521081d8cc3e343cf9f52052e11d72.png	/home/tits/websites/Brazil%20angel%20mobile/d3.do/assets/bloom/mobile/bloom_project_06-3a39c49cc0c7993ac5ed01c46ec40565ea521081d8cc3e343cf9f52052e11d72.png	(from https://d3.do/en/projects/bloom)
14:17:08	52265/52265	URF---	200	added ('OK%20(cached)')	image/png		https://d3.do/assets/bloom/mobile/bloom_project_08-2ab4edcc7df62ac3a1b9745b111dfde2c303b168c442160ddedfd01bd7ef272e.png	/home/tits/websites/Brazil%20angel%20mobile/d3.do/assets/bloom/mobile/bloom_project_08-2ab4edcc7df62ac3a1b9745b111dfde2c303b168c442160ddedfd01bd7ef272e.png	(from https://d3.do/en/projects/bloom)
14:17:08	44526/44526	URF---	200	added ('OK%20(cached)')	image/png		https://d3.do/assets/bloom/mobile/bloom_project_09-4e2776fe30278aa0604937f490df09246bff01925ce97f891975bdd0e0ac25d3.png	/home/tits/websites/Brazil%20angel%20mobile/d3.do/assets/bloom/mobile/bloom_project_09-4e2776fe30278aa0604937f490df09246bff01925ce97f891975bdd0e0ac25d3.png	(from https://d3.do/en/projects/bloom)
14:17:08	96092/96092	URF---	200	added ('OK%20(cached)')	image/png		https://www.zagapp.com.br/assets/iphone_three_app-21ffed5331b61886f9e72858a6e3c5cf1bc78f1b23ac5a7358304f4231ade767.png	/home/tits/websites/Brazil%20angel%20mobile/www.zagapp.com.br/assets/iphone_three_app-21ffed5331b61886f9e72858a6e3c5cf1bc78f1b23ac5a7358304f4231ade767.png	(from https://www.zagapp.com.br/users/account/company)
14:17:11	2257/2257	UR-MC-	200	added ('OK')	application/json	date:Tue,%2019%20Dec%202017%2012:17:10%20GMT	https://www.kcollector.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kcollector.com.br%2Fblog%2F	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-json/oembed/1.0/embed73e8.json	(from https://www.kcollector.com.br/blog/)
14:17:16	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:10%20GMT	https://www.kcollector.com.br/xmlrpc.php?rsd	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/xmlrpc0db0.php	(from https://www.kcollector.com.br/)
14:17:16	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:10%20GMT	https://www.kcollector.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kcollector.com.br%2Fblog%2F&format=xml	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-json/oembed/1.0/embeddbfd	(from https://www.kcollector.com.br/blog/)
14:17:17	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:11%20GMT	https://www.kcollector.com.br/wp-content/uploads/2017/11/leitura.png	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2017/11/leitura.png	(from https://www.kcollector.com.br/blog/)
14:17:23	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:17%20GMT	https://www.kcollector.com.br/wp-content/uploads/2017/12/20171213_183321.jpg	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-content/uploads/2017/12/20171213_183321.jpg	(from https://www.kcollector.com.br/blog/)
14:17:24	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20Dec%202017%2012:17:18%20GMT	https://www.kcollector.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.kcollector.com.br%2F&format=xml	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/wp-json/oembed/1.0/embed5410	(from https://www.kcollector.com.br/)
